        Time / s                E-Field (0 0 2)_1(X) [1]/real
          4.1626326e-009                       0.1122281
          4.1643064e-009                       0.1022875
          4.1659802e-009                      0.09039708
          4.1676539e-009                     0.076596536
          4.1693277e-009                     0.061012769
          4.1710014e-009                     0.043905267
          4.1726752e-009                      0.02569446
          4.1743489e-009                    0.0069684029
          4.1760227e-009                    -0.011530674
          4.1776965e-009                    -0.028946748
          4.1793702e-009                    -0.044382778
           4.181044e-009                    -0.056994629
          4.1827177e-009                    -0.066087176
          4.1843915e-009                    -0.071198638
          4.1860652e-009                    -0.072168042
           4.187739e-009                    -0.069174227
          4.1894127e-009                    -0.062731646
          4.1910865e-009                    -0.053636353
          4.1927603e-009                    -0.042874173
           4.194434e-009                    -0.031510264
          4.1961078e-009                    -0.020569879
          4.1977815e-009                    -0.010920942
          4.1994553e-009                    -0.003175623
           4.201129e-009                     0.002368363
          4.2028028e-009                    0.0057367726
          4.2044766e-009                    0.0072416701
          4.2061503e-009                    0.0074077694
          4.2078241e-009                    0.0068726343
          4.2094978e-009                    0.0062737741
          4.2111716e-009                    0.0061422079
          4.2128453e-009                    0.0068177262
          4.2145191e-009                    0.0083954842
          4.2161929e-009                     0.010710347
          4.2178666e-009                     0.013360891
          4.2195404e-009                     0.015768014
          4.2212141e-009                     0.017256033
          4.2228879e-009                     0.017142393
          4.2245616e-009                     0.014825217
          4.2262354e-009                    0.0098592554
          4.2279091e-009                    0.0020077889
          4.2295829e-009                   -0.0087357382
          4.2312567e-009                    -0.022151217
          4.2329304e-009                    -0.037812476
          4.2346042e-009                    -0.055121102
          4.2362779e-009                    -0.073352594
          4.2379517e-009                    -0.091709406
          4.2396254e-009                      -0.1093695
          4.2412992e-009                     -0.12552407
           4.242973e-009                     -0.13940908
          4.2446467e-009                     -0.15033476
          4.2463205e-009                     -0.15771111
          4.2479942e-009                     -0.16106722
           4.249668e-009                     -0.16006654
          4.2513417e-009                     -0.15452195
          4.2530155e-009                      -0.1444097
          4.2546893e-009                     -0.12987524
           4.256363e-009                     -0.11122607
          4.2580368e-009                    -0.088915764
          4.2597105e-009                     -0.06352448
          4.2613843e-009                    -0.035738582
           4.263058e-009                   -0.0063308527
          4.2647318e-009                     0.023858607
          4.2664056e-009                     0.053939678
          4.2680793e-009                      0.08298433
          4.2697531e-009                      0.11003138
          4.2714268e-009                      0.13408676
          4.2731006e-009                      0.15412951
          4.2747743e-009                       0.1691359
          4.2764481e-009                      0.17812643
          4.2781218e-009                         0.18023
          4.2797956e-009                      0.17475974
          4.2814694e-009                       0.1612966
          4.2831431e-009                      0.13977507
          4.2848169e-009                       0.1105553
          4.2864906e-009                     0.074460118
          4.2881644e-009                     0.032762093
          4.2898381e-009                    -0.012881409
          4.2915119e-009                    -0.060539781
          4.2931857e-009                     -0.10815735
          4.2948594e-009                     -0.15372066
          4.2965332e-009                     -0.19542313
          4.2982069e-009                     -0.23180213
          4.2998807e-009                     -0.26182657
          4.3015544e-009                     -0.28492171
          4.3032282e-009                     -0.30092801
           4.304902e-009                     -0.31000293
          4.3065757e-009                     -0.31248667
          4.3082495e-009                     -0.30875772
          4.3099232e-009                      -0.2991051
           4.311597e-009                     -0.28364107
          4.3132707e-009                     -0.26227309
          4.3149445e-009                     -0.23473983
          4.3166182e-009                     -0.20070334
           4.318292e-009                     -0.15987832
          4.3199658e-009                     -0.11217527
          4.3216395e-009                    -0.057831603
          4.3233133e-009                     0.002497449
           4.324987e-009                     0.067708631
          4.3266608e-009                      0.13628597
          4.3283345e-009                      0.20639094
          4.3300083e-009                      0.27598997
          4.3316821e-009                      0.34300129
          4.3333558e-009                      0.40544139
          4.3350296e-009                      0.46155076
          4.3367033e-009                      0.50988114
          4.3383771e-009                      0.54933984
          4.3400508e-009                      0.57919626
          4.3417246e-009                      0.59906156
          4.3433984e-009                      0.60885504
          4.3450721e-009                      0.60876647
          4.3467459e-009                      0.59922133
          4.3484196e-009                      0.58085029
          4.3500934e-009                      0.55446286
          4.3517671e-009                      0.52102073
          4.3534409e-009                      0.48160342
          4.3551146e-009                      0.43735942
          4.3567884e-009                        0.389442
          4.3584622e-009                      0.33894269
          4.3601359e-009                      0.28683618
          4.3618097e-009                      0.23394939
          4.3634834e-009                      0.18095978
          4.3651572e-009                      0.12842895
          4.3668309e-009                       0.0768718
          4.3685047e-009                     0.026849861
          4.3701785e-009                    -0.020936359
          4.3718522e-009                    -0.065583557
           4.373526e-009                     -0.10596654
          4.3751997e-009                      -0.1407758
          4.3768735e-009                     -0.16861505
          4.3785472e-009                     -0.18815339
           4.380221e-009                     -0.19830924
          4.3818948e-009                     -0.19842993
          4.3835685e-009                     -0.18843375
          4.3852423e-009                     -0.16888701
           4.386916e-009                     -0.14100151
          4.3885898e-009                     -0.10654698
          4.3902635e-009                    -0.067691438
          4.3919373e-009                    -0.026795104
          4.3936111e-009                      0.01380763
          4.3952848e-009                     0.052002843
          4.3969586e-009                      0.08603822
          4.3986323e-009                      0.11459027
          4.4003061e-009                      0.13675908
          4.4019798e-009                      0.15200972
          4.4036536e-009                      0.16008482
          4.4053273e-009                       0.1609102
          4.4070011e-009                       0.1545179
          4.4086749e-009                      0.14101018
          4.4103486e-009                       0.1205777
          4.4120224e-009                     0.093563742
          4.4136961e-009                      0.06054986
          4.4153699e-009                     0.022438135
          4.4170436e-009                    -0.019490926
          4.4187174e-009                    -0.063565724
          4.4203912e-009                     -0.10777453
          4.4220649e-009                      -0.1498795
          4.4237387e-009                     -0.18757436
          4.4254124e-009                      -0.2186612
          4.4270862e-009                     -0.24122724
          4.4287599e-009                     -0.25380328
          4.4304337e-009                     -0.25548196
          4.4321075e-009                     -0.24597926
          4.4337812e-009                      -0.2256391
           4.435455e-009                     -0.19539332
          4.4371287e-009                      -0.1566904
          4.4388025e-009                     -0.11140394
          4.4404762e-009                    -0.061733323
            4.44215e-009                    -0.010109188
          4.4438237e-009                      0.04089694
          4.4454975e-009                       0.0886671
          4.4471713e-009                      0.13063783
           4.448845e-009                      0.16439997
          4.4505188e-009                       0.1877938
          4.4521925e-009                      0.19900449
          4.4538663e-009                      0.19665517
            4.45554e-009                      0.17988097
          4.4572138e-009                      0.14836198
          4.4588876e-009                      0.10231147
          4.4605613e-009                     0.042429229
          4.4622351e-009                    -0.030171155
          4.4639088e-009                     -0.11405609
          4.4655826e-009                     -0.20757312
          4.4672563e-009                     -0.30893434
          4.4689301e-009                     -0.41626564
          4.4706039e-009                      -0.5276203
          4.4722776e-009                     -0.64096473
          4.4739514e-009                     -0.75414082
          4.4756251e-009                     -0.86481857
          4.4772989e-009                     -0.97046415
          4.4789726e-009                      -1.0683518
          4.4806464e-009                      -1.1556305
          4.4823202e-009                      -1.2294386
          4.4839939e-009                      -1.2870588
          4.4856677e-009                      -1.3260977
          4.4873414e-009                      -1.3446704
          4.4890152e-009                       -1.341556
          4.4906889e-009                       -1.316301
          4.4923627e-009                      -1.2692578
          4.4940364e-009                      -1.2015552
          4.4957102e-009                      -1.1150002
           4.497384e-009                      -1.0119231
          4.4990577e-009                     -0.89499466
          4.5007315e-009                     -0.76704458
          4.5024052e-009                     -0.63089772
           4.504079e-009                     -0.48923647
          4.5057527e-009                     -0.34449994
          4.5074265e-009                     -0.19883065
          4.5091003e-009                    -0.054065824
           4.510774e-009                     0.088241245
          4.5124478e-009                      0.22678321
          4.5141215e-009                      0.36044845
          4.5157953e-009                      0.48826569
           4.517469e-009                       0.6093538
          4.5191428e-009                      0.72288451
          4.5208166e-009                      0.82805697
          4.5224903e-009                      0.92408218
          4.5241641e-009                       1.0101799
          4.5258378e-009                       1.0855892
          4.5275116e-009                       1.1495867
          4.5291853e-009                       1.2015063
          4.5308591e-009                       1.2407598
          4.5325328e-009                       1.2668593
          4.5342066e-009                       1.2794327
          4.5358804e-009                       1.2782247
          4.5375541e-009                       1.2630876
          4.5392279e-009                       1.2339749
          4.5409016e-009                       1.1909391
          4.5425754e-009                       1.1341319
          4.5442491e-009                       1.0638055
          4.5459229e-009                      0.98032974
          4.5475967e-009                      0.88423145
          4.5492704e-009                      0.77624618
          4.5509442e-009                      0.65736156
          4.5526179e-009                      0.52884618
          4.5542917e-009                      0.39226798
          4.5559654e-009                      0.24950026
          4.5576392e-009                      0.10270592
           4.559313e-009                    -0.045706333
          4.5609867e-009                     -0.19314669
          4.5626605e-009                      -0.3369186
          4.5643342e-009                     -0.47429596
           4.566008e-009                     -0.60260181
          4.5676817e-009                     -0.71928569
          4.5693555e-009                     -0.82199924
          4.5710292e-009                     -0.90867089
           4.572703e-009                      -0.9775772
          4.5743768e-009                      -1.0274039
          4.5760505e-009                      -1.0572923
          4.5777243e-009                      -1.0668705
           4.579398e-009                      -1.0562632
          4.5810718e-009                      -1.0260736
          4.5827455e-009                     -0.97733296
          4.5844193e-009                     -0.91143086
          4.5860931e-009                     -0.83004224
          4.5877668e-009                     -0.73506343
          4.5894406e-009                     -0.62856272
          4.5911143e-009                      -0.5127534
          4.5927881e-009                     -0.38999825
          4.5944618e-009                     -0.26283904
          4.5961356e-009                     -0.13403217
          4.5978094e-009                     -0.00656743
          4.5994831e-009                       0.1163452
          4.6011569e-009                      0.23133077
          4.6028306e-009                      0.33495525
          4.6045044e-009                      0.42387995
          4.6061781e-009                       0.4950468
          4.6078519e-009                      0.54586408
          4.6095257e-009                      0.57436759
          4.6111994e-009                      0.57933488
          4.6128732e-009                      0.56033499
          4.6145469e-009                        0.517709
          4.6162207e-009                       0.4524951
